Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,124.968,-95.758,90.0,top
C2,100uF,C_Elec_8x10.2,117.8052,-96.818,90.0,top
C3,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,134.89,-99.314,-90.0,top
IC1,DRV8234RTER,QFN50P300X300X80-17N-D,130.052,-98.528,-90.0,top
J1,POWER,CONN_1862055,106.0704,-82.209899,180.0,top
J2,CNTRL_IN,CONN_1862055,119.730401,-82.209899,180.0,top
J3,CNTRL_OUT,CONN_1862055,133.319401,-82.209899,180.0,top
J4,I2C,1862068,148.844,-82.1944,180.0,top
J5,MOTOR,CONN_1862042,158.281101,-94.287398,90.0,top
R1,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.286,-90.932,-90.0,top
R2,8.45K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,135.89,-90.932,-90.0,top
R3,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.588,-90.932,-90.0,top
R4,2.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.208,-90.916,-90.0,top
R5,2.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,143.51,-90.916,-90.0,top
R6,2.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150.114,-90.916,-90.0,top
R7,2.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.812,-90.916,-90.0,top
