Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",30.500000,13.500000,180.000000,top
"C2","100uF","C_Elec_8x10.2",22.000000,17.000000,180.000000,top
"C3","100nF","C_0805_2012Metric",38.500000,13.500000,0.000000,top
"IC1","DRV8234RTER","DRV8234RTER",34.500000,12.000000,-90.000000,top
"J1","CONN_1862042","1862042",23.750000,3.200000,0.000000,top
"J2","CONN_1862055","1862055",22.799999,31.807799,180.000000,top
"J3","CONN_1862055","1862055",35.586000,31.808900,180.000000,top
"J4","1862068","1862068",58.900000,26.800000,180.000000,top
"J5","CONN_1862042","1862042",48.599999,3.200000,0.000000,top
"J6","CONN_1862055","1862055",9.999999,31.800000,180.000000,top
"R1","10k","R_0805_2012Metric",35.586000,20.500000,90.000000,top
"R2","1.2k","R_0805_2012Metric",42.600000,20.500000,-90.000000,top
"R3","10k","R_0805_2012Metric",39.100000,20.500000,90.000000,top
"R4","2.2k","R_0805_2012Metric",48.400000,20.500000,90.000000,top
"R5","2.2k","R_0805_2012Metric",51.900000,20.500000,90.000000,top
"R6","2.2k","R_0805_2012Metric",55.400000,20.500000,90.000000,top
"R7","2.2k","R_0805_2012Metric",58.900000,20.500000,90.000000,top
